design,flow,switching_power,switching_power_%,tot_power,tot_power_%,#1-bit FFs,#2-bit FFs,#4-bit FFs,#clk bufs,#clk bufs_%,WNS,WNS_%,TNS,TNS_%,area,area_%,WL,WL_%,#inst,#inst_%
aes,SFTray alpha_256-beta_0.1,0.0993722,0.5,0.167002,0.52,10,2,137,27,-41.3,-39.2564,282.66,-2472.98,2299.34,1867.57,1.57,58856,1.74,16926,-1.05
aes,Ours alpha_256-beta_0.1,0.0992604,0.38,0.16657,0.26,30,6,130,20,-56.52,-51.5677,402.67,-2726.21,2545.03,1857.45,1.02,58466,1.06,16892,-1.25
ibex,NC,0.0122544,0.0,0.025188,0.0,1939,0,0,156,0.0,-22.0397,-0.0,-166.713,-0.0,2541.78,0.0,97784,0.0,21734,0.0
ibex,SFTray alpha_2-beta_0.1,0.0123,0.37,0.0254001,0.84,1929,1,2,155,-0.64,-19.8961,-9.73,-166.114,-0.36,2555.95,0.56,98033,0.25,21810,0.35
ibex,Ours alpha_2-beta_0.1,0.0123012,0.38,0.0252801,0.37,1931,0,2,156,0.0,-38.0986,72.86,-124.137,-25.54,2553.37,0.46,98229,0.46,21788,0.25
ibex,SFTray alpha_4-beta_0.1,0.0121678,-0.71,0.0249074,-1.11,1799,8,31,145,-7.05,-35.3,60.17,-614.549,268.63,2534.6,-0.28,97698,-0.09,21605,-0.59
ibex,Ours alpha_4-beta_0.1,0.0121264,-1.04,0.024712,-1.89,1801,5,32,145,-7.05,-50.2937,128.2,-3120.06,1771.52,2527.15,-0.58,97424,-0.37,21577,-0.72
ibex,SFTray alpha_8-beta_0.1,0.0120874,-1.36,0.0246132,-2.28,1691,2,61,136,-12.82,-43.8284,98.86,-1005.98,503.42,2529.09,-0.5,97496,-0.29,21508,-1.04
ibex,Ours alpha_8-beta_0.1,0.0123131,0.48,0.0252549,0.27,1693,1,61,134,-14.1,-35.8985,62.88,-432.024,159.14,2555.22,0.53,98241,0.47,21678,-0.26
ibex,SFTray alpha_16-beta_0.1,0.0121157,-1.13,0.0246931,-1.96,1675,2,65,141,-9.62,-48.5341,120.21,-552.699,231.53,2532.18,-0.38,97856,0.07,21517,-1.0
ibex,SFTray alpha_67-beta_0.1,0.0122491,-0.04,0.0251093,-0.31,1673,1,66,142,-8.97,-44.3157,101.07,-992.794,495.51,2560.04,0.72,98700,0.94,21676,-0.27
ibex,Ours alpha_67-beta_0.1,0.0121739,-0.66,0.024976,-0.84,1673,1,66,143,-8.33,-37.4418,69.88,-711.058,326.52,2546.35,0.18,97952,0.17,21575,-0.73
ibex,SFTray alpha_130-beta_0.1,0.0122491,-0.04,0.0251093,-0.31,1673,1,66,142,-8.97,-44.3157,101.07,-992.794,495.51,2560.04,0.72,98700,0.94,21676,-0.27
ibex,Ours alpha_130-beta_0.1,0.0121739,-0.66,0.024976,-0.84,1673,1,66,143,-8.33,-37.4418,69.88,-711.058,326.52,2546.35,0.18,97952,0.17,21575,-0.73
ibex,SFTray alpha_193-beta_0.1,0.0122491,-0.04,0.0251093,-0.31,1673,1,66,142,-8.97,-44.3157,101.07,-992.794,495.51,2560.04,0.72,98700,0.94,21676,-0.27
ibex,Ours alpha_193-beta_0.1,0.0121739,-0.66,0.024976,-0.84,1673,1,66,143,-8.33,-37.4418,69.88,-711.058,326.52,2546.35,0.18,97952,0.17,21575,-0.73
ibex,SFTray alpha_256-beta_0.1,0.0122491,-0.04,0.0251093,-0.31,1673,1,66,142,-8.97,-44.3157,101.07,-992.794,495.51,2560.04,0.72,98700,0.94,21676,-0.27
ibex,Ours alpha_256-beta_0.1,0.0121739,-0.66,0.024976,-0.84,1673,1,66,143,-8.33,-37.4418,69.88,-711.058,326.52,2546.35,0.18,97952,0.17,21575,-0.73
jpeg,NC,0.0568253,0.0,0.119187,0.0,4383,0,0,359,0.0,16.6334,0.0,0,0.0,6436.98,0.0,161615,0.0,57382,0.0
jpeg,SFTray alpha_2-beta_0.1,0.0563782,-0.79,0.117528,-1.39,3505,111,164,334,-6.96,19.8406,19.28,0,0.0,6432.13,-0.08,161819,0.13,56779,-1.05
jpeg,Ours alpha_2-beta_0.1,0.0563655,-0.81,0.117757,-1.2,3457,129,167,344,-4.18,19.1913,15.38,0,0.0,6435.38,-0.02,161897,0.17,56793,-1.03
jpeg,SFTray alpha_4-beta_0.1,0.0548324,-3.51,0.111367,-6.56,1229,113,732,205,-42.9,14.4718,-13.0,0,0.0,6377.8,-0.92,162870,0.78,54975,-4.19
jpeg,Ours alpha_4-beta_0.1,0.0548037,-3.56,0.111486,-6.46,1215,114,735,208,-42.06,18.3147,10.11,0,0.0,6379.39,-0.89,162750,0.7,54986,-4.18
jpeg,SFTray alpha_8-beta_0.1,0.0542538,-4.53,0.109118,-8.45,365,49,980,158,-55.99,20.9884,26.18,0,0.0,6357.01,-1.24,163880,1.4,54230,-5.49
jpeg,Ours alpha_8-beta_0.1,0.0542003,-4.62,0.109032,-8.52,301,41,1000,157,-56.27,10.2724,-38.24,0,0.0,6358.38,-1.22,163570,1.21,54185,-5.57
jpeg,SFTray alpha_16-beta_0.1,0.0541162,-4.77,0.108452,-9.01,135,16,1054,144,-59.89,13.9995,-15.84,0,0.0,6351.03,-1.34,164278,1.65,54000,-5.89
jpeg,Ours alpha_16-beta_0.1,0.0540321,-4.92,0.108387,-9.06,109,11,1063,156,-56.55,19.359,16.39,0,0.0,6351.79,-1.32,163804,1.35,53971,-5.94
jpeg,SFTray alpha_67-beta_0.1,0.0541359,-4.73,0.108443,-9.01,85,7,1071,134,-62.67,16.3232,-1.86,0,0.0,6350.86,-1.34,164864,2.01,53971,-5.94
jpeg,Ours alpha_67-beta_0.1,0.0540825,-4.83,0.108556,-8.92,87,6,1071,153,-57.38,10.3153,-37.98,0,0.0,6355.57,-1.26,164219,1.61,53983,-5.92
jpeg,SFTray alpha_130-beta_0.1,0.0541359,-4.73,0.108443,-9.01,85,7,1071,134,-62.67,16.3232,-1.86,0,0.0,6350.86,-1.34,164864,2.01,53971,-5.94
jpeg,Ours alpha_130-beta_0.1,0.0540825,-4.83,0.108556,-8.92,87,6,1071,153,-57.38,10.3153,-37.98,0,0.0,6355.57,-1.26,164219,1.61,53983,-5.92
jpeg,SFTray alpha_193-beta_0.1,0.0541359,-4.73,0.108443,-9.01,85,7,1071,134,-62.67,16.3232,-1.86,0,0.0,6350.86,-1.34,164864,2.01,53971,-5.94
jpeg,Ours alpha_193-beta_0.1,0.0540825,-4.83,0.108556,-8.92,87,6,1071,153,-57.38,10.3153,-37.98,0,0.0,6355.57,-1.26,164219,1.61,53983,-5.92
jpeg,SFTray alpha_256-beta_0.1,0.0541359,-4.73,0.108443,-9.01,85,7,1071,134,-62.67,16.3232,-1.86,0,0.0,6350.86,-1.34,164864,2.01,53971,-5.94
jpeg,Ours alpha_256-beta_0.1,0.0540825,-4.83,0.108556,-8.92,87,6,1071,153,-57.38,10.3153,-37.98,0,0.0,6355.57,-1.26,164219,1.61,53983,-5.92
ethmac,NC,0.0248778,0.0,0.111321,0.0,10546,0,0,910,0.0,-86.2651,-0.0,-1464.06,-0.0,7935.72,0.0,210475,0.0,60948,0.0
ethmac,SFTray alpha_2-beta_0.1,0.0223566,-10.13,0.101096,-9.19,8106,364,428,772,-15.16,-82.4131,-4.47,-1412.63,-3.51,7894.81,-0.52,210697,0.11,59198,-2.87
ethmac,Ours alpha_2-beta_0.1,0.0224038,-9.94,0.101514,-8.81,8064,371,435,769,-15.49,-86.4495,0.21,-1469.3,0.36,7899.09,-0.46,210804,0.16,59164,-2.93
ethmac,SFTray alpha_4-beta_0.1,0.015776,-36.59,0.0755618,-32.12,2970,214,1787,448,-50.77,-83.6234,-3.06,-1390.76,-5.01,7781.43,-1.94,211471,0.47,54921,-9.89
ethmac,Ours alpha_4-beta_0.1,0.0159316,-35.96,0.075711,-31.99,3030,246,1756,446,-50.99,-79.8346,-7.45,-1345.03,-8.13,7781.05,-1.95,211328,0.41,54982,-9.79
ethmac,SFTray alpha_8-beta_0.1,0.0135233,-45.64,0.0679492,-38.96,1396,31,2272,387,-57.47,-82.0387,-4.9,-1397.42,-4.55,7748.32,-2.36,212568,0.99,53536,-12.16
ethmac,Ours alpha_8-beta_0.1,0.0134368,-45.99,0.0676516,-39.23,1380,35,2274,391,-57.03,-81.3807,-5.66,-1369.36,-6.47,7745.51,-2.4,212510,0.97,53515,-12.2
